league,season,team,player,nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
AUT-Bundesliga,2024-25,RB Salzburg,Ignace Van Der Brempt,BEL,DF,22,2002,0.7,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Janis Blaswich,GER,GK,33,1991,11.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Jannik Schuster,AUT,DF,18,2006,0.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,John Mellberg,SWE,DF,18,2006,3.2,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kamil Piątkowski,POL,DF,24,2000,11.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Konaté,CIV,FW,20,2004,8.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Karim Onisiwo,AUT,FW,32,1992,6.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Kouakou Gadou,FRA,DF,17,2007,17.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Leandro Morgalla,GER,DF,19,2004,9.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Lucas Gourna-Douath,FRA,MF,20,2003,4.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mads Bidstrup,DEN,MF,23,2001,24.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Mamady Diambou,MLI,MF,21,2002,9.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maurits Kjærgaard,DEN,"MF,DF",21,2003,3.9,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Maximiliano Caufriez,BEL,DF,27,1997,1.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Moussa Kounfolo Yeo,MLI,"MF,FW",20,2004,14.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nene Dorgeles,MLI,"MF,FW",21,2002,22.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Nicolás Capaldo,ARG,"MF,DF",26,1997,19.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Oscar Gloukh,ISR,MF,20,2004,21.5,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Petar Ratkov,SRB,FW,20,2003,8.4,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Samson Baidoo,AUT,DF,20,2004,29.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Stefan Bajcetic,ESP,MF,19,2004,6.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Takumu Kawamura,JPN,MF,24,1999,2.8,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Tim Trummer,AUT,DF,18,2005,5.0,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Valentin Sulzbacher,AUT,MF,19,2005,3.6,,,,,,,,,,,,,,,,
AUT-Bundesliga,2024-25,RB Salzburg,Yorbe Vertessen,BEL,"FW,MF",23,2001,13.7,,,,,,,,,,,,,,,,
